COUNTRY,AREA,YEAR,TEMPERATURE,GDP PER CAPITA,POPULATION DENSITY,LATITUDE,LONGITUDE,ELEVATION
Indonesia,JawaTenga,2015.0,28.5,2235.7,1030.0,-7.303241,110.004414,2761.0
Indonesia,JawaTimur,2010.0,26.25,2901.11,786.0,-7.69774,112.49142,1068.0
Indonesia,JawaTimur,2011.0,26.6,3376.63,792.0,-7.69774,112.49142,1068.0
Indonesia,JawaTimur,2012.0,28.0,3491.41,797.0,-7.69774,112.49142,1068.0
Indonesia,JawaTimur,2013.0,27.9,3444.91,803.0,-7.69774,112.49142,1068.0
Indonesia,JawaTimur,2014.0,28.0,3357.16,808.0,-7.69774,112.49142,1068.0
Indonesia,JawaTimur,2015.0,28.0,3252.03,813.0,-7.69774,112.49142,1068.0
Indonesia,KalimantanBarat,2010.0,27.1,2146.32,30.0,-0.132239,111.09689,119.0
Indonesia,KalimantanBarat,2011.0,26.6,2457.02,30.0,-0.132239,111.09689,119.0
Indonesia,KalimantanBarat,2012.0,27.1,2495.96,31.0,-0.132239,111.09689,119.0
Indonesia,KalimantanBarat,2013.0,26.9,2443.5,32.0,-0.132239,111.09689,119.0
Indonesia,KalimantanBarat,2014.0,26.8,2365.15,32.0,-0.132239,111.09689,119.0
Indonesia,KalimantanBarat,2015.0,26.9,2286.9,33.0,-0.132239,111.09689,119.0
Indonesia,KalimantanSelatan,2010.0,27.12,2576.29,94.0,-2.928569,115.370072,463.0
Indonesia,KalimantanSelatan,2011.0,27.1,3032.43,96.0,-2.928569,115.370072,463.0
Indonesia,KalimantanSelatan,2012.0,26.6,3004.16,98.0,-2.928569,115.370072,463.0
Indonesia,KalimantanSelatan,2013.0,26.7,2873.34,99.0,-2.928569,115.370072,463.0
Indonesia,KalimantanSelatan,2014.0,26.8,2747.56,101.0,-2.928569,115.370072,463.0
Indonesia,KalimantanSelatan,2015.0,27.0,2565.67,103.0,-2.928569,115.370072,463.0
Indonesia,KalimantanTengah,2010.0,23.7,2800.34,14.0,-1.499583,113.290331,74.0
Indonesia,KalimantanTengah,2011.0,24.5,3301.36,15.0,-1.499583,113.290331,74.0
Indonesia,KalimantanTengah,2012.0,27.3,3357.76,15.0,-1.499583,113.290331,74.0
Indonesia,KalimantanTengah,2013.0,27.4,3285.28,16.0,-1.499583,113.290331,74.0
Indonesia,KalimantanTengah,2014.0,27.4,3105.12,16.0,-1.499583,113.290331,74.0
Indonesia,KalimantanTengah,2015.0,27.7,2995.37,16.0,-1.499583,113.290331,74.0
Indonesia,KalimantanTimur,2010.0,27.1,12865.38,17.0,0.78844,116.241998,139.0
Indonesia,KalimantanTimur,2011.0,27.3,15989.69,18.0,0.78844,116.241998,139.0
Indonesia,KalimantanTimur,2012.0,28.0,15554.92,18.0,0.78844,116.241998,139.0
Indonesia,KalimantanTimur,2013.0,27.4,15148.91,19.0,0.78844,116.241998,139.0
Indonesia,KalimantanTimur,2014.0,27.7,13265.91,26.0,0.78844,116.241998,139.0
Indonesia,KalimantanTimur,2015.0,27.9,11009.44,27.0,0.78844,116.241998,139.0
Indonesia,KalimantanUtara,2010.0,26.6,10357.75,4.0,3.023582,116.204931,684.0
Indonesia,KalimantanUtara,2011.0,26.8,9722.46,5.0,3.023582,116.204931,684.0
Indonesia,KalimantanUtara,2012.0,27.0,9087.17,6.0,3.023582,116.204931,684.0
Indonesia,KalimantanUtara,2013.0,27.2,8451.88,7.0,3.023582,116.204931,684.0
Indonesia,KalimantanUtara,2014.0,27.4,8068.67,8.0,3.023582,116.204931,684.0
